label,prec,rec
信用卡数量限制,0.80,1.00
公司优势,1.00,1.00
合作银行,0.93,0.93
审核时间,1.00,1.00
客户提意见,0.94,1.00
客服不专业,1.00,1.00
已在使用,1.00,1.00
已有贷款,0.75,1.00
征信差或无资产,1.00,0.97
提交材料,1.00,1.00
是否上征信,0.98,1.00
是否机器人,1.00,0.92
是否真实,0.97,1.00
爱国爱党,1.00,1.00
私人信息,0.98,1.00
考虑,0.89,1.00
解释信用贷款,1.00,0.67
解释厘,1.00,1.00
解释省呗,0.87,0.97
询问信息来源,1.00,1.00
询问公司名称或地址,0.98,0.94
询问分期,1.00,1.00
询问利息,0.75,0.82
询问利率,0.75,0.75
询问如何还款,1.00,1.00
询问客服名字,0.91,0.83
询问手续费,1.00,0.94
询问抵押,1.00,0.80
询问是否安全,1.00,1.00
询问联系方式,0.80,1.00
询问贷款现金,1.00,1.00
询问贷款速度,1.00,0.90
询问身份或来意,0.96,0.91
询问额度,1.00,0.94
贷款速度快,1.00,1.00
软件怎么下载,1.00,1.00
额度是否循环,1.00,1.00
