label,prec,rec
信用卡数量限制,1.00,1.00
公司优势,1.00,1.00
合作银行,1.00,1.00
审核时间,1.00,1.00
客户提意见,1.00,0.98
客服不专业,1.00,1.00
已在使用,1.00,1.00
已有贷款,1.00,1.00
征信差或无资产,1.00,1.00
提交材料,1.00,1.00
是否上征信,1.00,1.00
是否机器人,1.00,1.00
是否真实,0.96,0.93
爱国爱党,1.00,1.00
私人信息,0.97,0.95
考虑,0.94,1.00
解释信用贷款,1.00,0.67
解释厘,1.00,1.00
解释省呗,0.85,0.97
询问信息来源,0.93,1.00
询问公司名称或地址,0.98,0.94
询问分期,0.92,0.92
询问利息,0.92,1.00
询问利率,1.00,1.00
询问如何还款,0.95,1.00
询问客服名字,1.00,0.83
询问手续费,1.00,0.94
询问抵押,1.00,1.00
询问是否安全,0.96,1.00
询问联系方式,1.00,1.00
询问贷款现金,1.00,1.00
询问贷款速度,0.83,1.00
询问身份或来意,1.00,0.95
询问额度,0.94,0.95
贷款速度快,1.00,0.80
软件怎么下载,1.00,1.00
额度是否循环,1.00,1.00
