item,freq
你,438
我,334
是,301
么,264
吗,242
的,229
这,188
们,161
什,142
有,133
不,124
多,114
个,109
怎,108
问,100
一,99
下,96
能,91
边,91
款,85
少,85
哪,85
说,81
以,81
要,80
可,78
信,70
想,68
用,66
在,62
还,62
话,61
里,59
期,55
公,54
司,53
现,50
那,47
请,47
度,46
听,44
金,41
额,41
没,40
人,40
借,40
贷,39
钱,39
会,38
到,36
好,36
需,35
产,32
品,30
道,30
知,29
去,28
行,27
骗,27
申,27
接,26
省,26
逾,26
利,25
息,25
银,25
如,25
都,24
给,24
得,24
吧,24
影,23
卡,22
就,22
响,22
您,21
前,21
费,21
样,21
方,21
提,21
最,21
审,20
高,20
服,20
题,20
再,19
号,19
分,19
呗,19
网,18
看,18
子,18
核,18
家,18
时,17
料,17
谁,17
后,17
办,17
动,17
他,16
过,16
电,16
机,16
征,16
零,16
移,16
太,15
地,15
来,15
载,15
对,15
哦,15
之,14
安,14
全,14
率,14
注,14
几,14
真,14
久,14
解,14
果,14
式,14
干,13
册,13
快,13
专,13
作,13
低,13
客,13
欠,12
材,12
码,12
工,12
介,12
绍,12
些,12
查,12
嗯,12
官,12
点,11
务,11
间,11
联,11
件,11
够,11
发,11
为,11
业,11
国,10
否,10
五,10
嘛,10
线,10
软,10
使,10
幺,10
啥,10
觉,10
讲,9
候,9
被,9
东,9
其,9
系,9
喂,9
器,9
付,9
跟,9
八,9
经,9
处,9
资,9
？,8
求,8
只,8
手,8
打,8
本,8
算,8
厘,8
p,8
大,8
浦,8
限,8
证,8
比,8
上,8
收,7
见,7
记,7
续,7
假,7
位,7
西,7
找,7
结,7
保,7
清,7
何,7
内,7
男,7
放,7
便,6
考,6
虑,6
告,6
诉,6
把,6
长,6
万,6
七,6
合,6
优,6
根,6
址,6
理,6
等,6
六,6
抵,6
押,6
块,6
份,6
账,6
才,6
通,6
做,5
外,5
事,5
备,5
差,5
升,5
儿,5
叫,5
出,5
姓,5
名,5
宽,5
从,5
楚,5
中,5
元,5
支,5
微,5
吃,5
代,5
已,5
朋,5
友,5
障,5
路,4
面,4
懂,4
月,4
张,4
惠,4
答,4
意,4
a,4
爱,4
党,4
种,4
回,4
区,4
正,4
该,4
成,4
立,4
百,4
别,4
退,4
饭,4
直,4
流,4
程,4
十,4
诈,4
千,4
宜,3
贵,3
泄,3
卖,3
操,3
董,3
两,3
帮,3
二,3
和,3
计,3
恩,3
扣,3
身,3
连,3
游,3
房,3
年,3
准,3
询,3
预,3
花,3
但,3
明,3
白,3
加,3
短,3
字,3
写,3
又,3
宝,3
循,3
环,3
心,3
规,3
定,3
生,3
女,3
表,3
无,3
掉,3
管,3
很,3
开,3
像,3
缴,3
急,3
先,3
质,3
性,3
拒,2
平,2
台,2
取,2
聊,2
谢,2
山,2
刚,2
目,2
怕,2
露,2
所,2
进,2
音,2
次,2
旅,2
单,2
咨,2
婚,2
自,2
较,2
也,2
咋,2
完,2
思,2
与,2
增,2
感,2
法,2
弄,2
搞,2
建,2
恢,2
复,2
起,2
继,2
源,2
速,2
投,2
隐,2
填,2
住,2
口,2
余,2
小,2
新,2
认,2
漏,2
受,2
拿,2
气,2
姐,2
监,2
员,2
置,2
交,2
录,2
批,2
相,2
每,2
供,2
势,2
装,2
四,2
民,2
具,2
体,2
称,2
呼,2
共,2
钟,2
重,2
然,2
三,2
车,1
获,1
领,1
情,1
挺,1
向,1
声,1
案,1
妈,1
签,1
非,1
致,1
今,1
债,1
免,1
概,1
捷,1
o,1
s,1
稍,1
物,1
设,1
哥,1
常,1
充,1
基,1
课,1
或,1
者,1
特,1
慢,1
普,1
林,1
企,1
框,1
部,1
形,1
淘,1
热,1
象,1
学,1
历,1
姑,1
娘,1
力,1
哇,1
玩,1
己,1
奶,1
茶,1
独,1
奥,1
水,1
却,1
激,1
活,1
蛮,1
控,1
效,1
神,1
门,1
识,1
构,1
轻,1
松,1
谈,1
跳,1
舞,1
返,1
喜,1
欢,1
语,1
持,1
简,1
空,1
曾,1
参,1
买,1
积,1
醒,1
绑,1
留,1
恁,1
嘞,1
走,1
条,1
近,1
唱,1
歌,1
析,1
着,1
范,1
围,1
肯,1
胜,1
任,1
居,1
般,1
卷,1
营,1
厅,1
士,1
章,1
页,1
私,1
因,1
入,1
它,1
脑,1
随,1
标,1
状,1
况,1
更,1
盗,1
换,1
距,1
离,1
远,1
天,1
户,1
反,1
矩,1
释,1
毛,1
容,1
观,1
望,1
遍,1
g,1
届,1
调,1
修,1
